batch_id,time_window_assumed,n_files,n_items_total,mean_fear_intensity,mean_superiority_intensity,mean_delegated_agency,mean_polarization_risk,mean_exploration,mean_expansion,mean_fixation_proxy,mean_preference_pressure_score,mean_shortcut_risk_score,mean_emotional_delegation_score,mean_pressure_gradient_score,mean_pressure_activation,mean_closure_pressure,mean_emotional_offloading,mean_shortcut_normalization,top_anxiety_label_1,top_anxiety_label_2,top_anxiety_label_3,top_solution_mode_1,top_solution_mode_2,top_solution_mode_3,top_functional_emotion_proxy_1,top_functional_emotion_proxy_2,top_functional_emotion_proxy_3,dominant_mode,dominant_pressure_mode
20260403_7e0a52,last_3_to_12_months,3,15,73.33,67.67,73.67,52.67,61.67,70,65.82,66,61.67,66,71.33,75,68.33,68.33,61.67,Economic Instability and Job Insecurity,Social Media Misinformation and Identity Polarization,Digital Privacy and Surveillance Concerns,identity signaling,automation/monitoring,outsourced expertise,control_loss,uncertainty_intolerance,identity_dislocation,fixation leaning,pressure-driven and closure-leaning
20260404_0f52a8,last_3_to_12_months,3,15,72,65,77,50.67,60,70,66.28,68,61.33,71,69.33,75,66.67,68.33,60,Economic Instability and Job Insecurity,Digital Privacy and Surveillance,Social Isolation and Loneliness,outsourced expertise,identity signaling,automation/monitoring,identity_dislocation,moral_injury_pressure,control_loss,fixation leaning,pressure-driven and closure-leaning
20260411_07047f,last_3_to_12_months,3,15,72.33,65.67,75,49.33,60,71.67,65.43,68,61.67,69,72.67,76.67,66.67,71.67,61.67,Economic Instability and Job Insecurity,Social Media Identity and Validation Pressure,Digital Privacy and Surveillance Concerns,automation/monitoring,identity signaling,offline/community,identity_dislocation,control_loss,abandonment_pressure,fixation leaning,pressure-driven and closure-leaning
20260418_ed5b10,last_3_to_12_months,3,15,71.67,65.67,75,51.33,60,71.67,65.6,66.33,61.67,72,73,76.67,68.33,75,63.33,Economic Instability and Job Insecurity,Digital Privacy and Surveillance,Interpersonal Social Isolation and Loneliness,identity signaling,outsourced expertise,automation/monitoring,control_loss,identity_dislocation,moral_injury_pressure,fixation leaning,pressure-driven and closure-leaning
20260425_9e82e8,last_3_to_12_months,3,15,72,65.33,77.33,51.33,60,71.67,66.53,70.33,64.67,71.67,72,76.67,68.33,73.33,63.33,Economic Instability and Job Insecurity,Social Media Identity and Validation Pressure,Climate Change and Environmental Collapse,automation/monitoring,outsourced expertise,identity signaling,control_loss,uncertainty_intolerance,identity_dislocation,fixation leaning,pressure-driven and closure-leaning
20260502_0fecb9,last_3_to_12_months,3,15,73.67,67,74.67,53.67,60,70,66.65,66.33,59.33,69,72,75,65,70,60,Economic Instability and Job Insecurity,Social Media Influence on Identity and Mental Health,Climate Change and Environmental Collapse,identity signaling,automation/monitoring,offline/community,control_loss,uncertainty_intolerance,scarcity_pressure,fixation leaning,pressure-driven and closure-leaning
20260509_aa6aaf,last_3_to_12_months,3,15,72.67,69,76.67,52.33,60,75,66.73,69.33,63,70.33,75.67,80,70,75,65,Economic Instability and Job Insecurity,Digital Privacy and Surveillance,Cultural Identity and Social Fragmentation,identity signaling,automation/monitoring,outsourced expertise,control_loss,identity_dislocation,scarcity_pressure,fixation leaning,pressure-driven and closure-leaning
20260516_9cfbc3,last_3_to_12_months,3,15,75.33,69.67,77,50.67,60,71.67,67.45,73.33,64,71,74.33,76.67,66.67,71.67,65,Economic Instability and Job Insecurity,Social Media Misinformation and Identity Polarization,Environmental Degradation and Climate Change Impact,identity signaling,automation/monitoring,outsourced expertise,control_loss,identity_dislocation,uncertainty_intolerance,fixation leaning,pressure-driven and closure-leaning
20260523_af87e0,last_3_to_12_months,3,15,71.67,66.67,75.67,55.33,61.67,73.33,66.47,68.33,63,71,75,78.33,70,73.33,65,Economic Instability and Job Insecurity,Digital Privacy and Surveillance,Cultural Identity and Belonging Uncertainty,identity signaling,automation/monitoring,outsourced expertise,identity_dislocation,control_loss,moral_injury_pressure,fixation leaning,pressure-driven and closure-leaning
20260530_564e49,last_3_to_12_months,3,15,74.33,66.67,75,47,60,70,65.67,66,58,69.67,72,75,68.33,68.33,60,Economic Instability and Job Insecurity,Digital Privacy and Surveillance,Interpersonal Social Isolation,automation/monitoring,identity signaling,offline/community,control_loss,identity_dislocation,scarcity_pressure,fixation leaning,pressure-driven and closure-leaning
20260606_a56a12,last_3_to_12_months,3,15,71.33,66.33,73,55,60,70,65.52,67.67,61.33,69.67,73.33,75,68.33,70,63.33,Economic Instability and Job Insecurity,Digital Privacy and Surveillance,Interpersonal Social Isolation,identity signaling,automation/monitoring,offline/community,identity_dislocation,uncertainty_intolerance,moral_injury_pressure,fixation leaning,pressure-driven and closure-leaning
