batch_id,date,mean_fear_intensity,mean_superiority_intensity,mean_delegated_agency,mean_polarization_risk,mean_exploration,mean_expansion,mean_fixation_proxy,mean_preference_pressure_score,mean_shortcut_risk_score,mean_emotional_delegation_score,mean_pressure_gradient_score,mean_pressure_activation,mean_closure_pressure,mean_emotional_offloading,mean_shortcut_normalization,observation_vector_json,observation_dimensions,dominant_mode,dominant_pressure_mode
20260403_7e0a52,2026-04-03,73.33,67.67,73.67,52.67,61.67,70.0,65.82,66.0,61.67,66.0,71.33,75.0,68.33,68.33,61.67,"{""mean_closure_pressure"": 68.33, ""mean_delegated_agency"": 73.67, ""mean_emotional_delegation_score"": 66.0, ""mean_emotional_offloading"": 68.33, ""mean_expansion"": 70.0, ""mean_exploration"": 61.67, ""mean_fear_intensity"": 73.33, ""mean_fixation_proxy"": 65.82, ""mean_polarization_risk"": 52.67, ""mean_preference_pressure_score"": 66.0, ""mean_pressure_activation"": 75.0, ""mean_pressure_gradient_score"": 71.33, ""mean_shortcut_normalization"": 61.67, ""mean_shortcut_risk_score"": 61.67, ""mean_superiority_intensity"": 67.67}",mean_fear_intensity;mean_superiority_intensity;mean_delegated_agency;mean_polarization_risk;mean_exploration;mean_expansion;mean_fixation_proxy;mean_preference_pressure_score;mean_shortcut_risk_score;mean_emotional_delegation_score;mean_pressure_gradient_score;mean_pressure_activation;mean_closure_pressure;mean_emotional_offloading;mean_shortcut_normalization,fixation leaning,pressure-driven and closure-leaning
20260404_0f52a8,2026-04-04,72.0,65.0,77.0,50.67,60.0,70.0,66.28,68.0,61.33,71.0,69.33,75.0,66.67,68.33,60.0,"{""mean_closure_pressure"": 66.67, ""mean_delegated_agency"": 77.0, ""mean_emotional_delegation_score"": 71.0, ""mean_emotional_offloading"": 68.33, ""mean_expansion"": 70.0, ""mean_exploration"": 60.0, ""mean_fear_intensity"": 72.0, ""mean_fixation_proxy"": 66.28, ""mean_polarization_risk"": 50.67, ""mean_preference_pressure_score"": 68.0, ""mean_pressure_activation"": 75.0, ""mean_pressure_gradient_score"": 69.33, ""mean_shortcut_normalization"": 60.0, ""mean_shortcut_risk_score"": 61.33, ""mean_superiority_intensity"": 65.0}",mean_fear_intensity;mean_superiority_intensity;mean_delegated_agency;mean_polarization_risk;mean_exploration;mean_expansion;mean_fixation_proxy;mean_preference_pressure_score;mean_shortcut_risk_score;mean_emotional_delegation_score;mean_pressure_gradient_score;mean_pressure_activation;mean_closure_pressure;mean_emotional_offloading;mean_shortcut_normalization,fixation leaning,pressure-driven and closure-leaning
20260411_07047f,2026-04-11,72.33,65.67,75.0,49.33,60.0,71.67,65.43,68.0,61.67,69.0,72.67,76.67,66.67,71.67,61.67,"{""mean_closure_pressure"": 66.67, ""mean_delegated_agency"": 75.0, ""mean_emotional_delegation_score"": 69.0, ""mean_emotional_offloading"": 71.67, ""mean_expansion"": 71.67, ""mean_exploration"": 60.0, ""mean_fear_intensity"": 72.33, ""mean_fixation_proxy"": 65.43, ""mean_polarization_risk"": 49.33, ""mean_preference_pressure_score"": 68.0, ""mean_pressure_activation"": 76.67, ""mean_pressure_gradient_score"": 72.67, ""mean_shortcut_normalization"": 61.67, ""mean_shortcut_risk_score"": 61.67, ""mean_superiority_intensity"": 65.67}",mean_fear_intensity;mean_superiority_intensity;mean_delegated_agency;mean_polarization_risk;mean_exploration;mean_expansion;mean_fixation_proxy;mean_preference_pressure_score;mean_shortcut_risk_score;mean_emotional_delegation_score;mean_pressure_gradient_score;mean_pressure_activation;mean_closure_pressure;mean_emotional_offloading;mean_shortcut_normalization,fixation leaning,pressure-driven and closure-leaning
20260418_ed5b10,2026-04-18,71.67,65.67,75.0,51.33,60.0,71.67,65.6,66.33,61.67,72.0,73.0,76.67,68.33,75.0,63.33,"{""mean_closure_pressure"": 68.33, ""mean_delegated_agency"": 75.0, ""mean_emotional_delegation_score"": 72.0, ""mean_emotional_offloading"": 75.0, ""mean_expansion"": 71.67, ""mean_exploration"": 60.0, ""mean_fear_intensity"": 71.67, ""mean_fixation_proxy"": 65.6, ""mean_polarization_risk"": 51.33, ""mean_preference_pressure_score"": 66.33, ""mean_pressure_activation"": 76.67, ""mean_pressure_gradient_score"": 73.0, ""mean_shortcut_normalization"": 63.33, ""mean_shortcut_risk_score"": 61.67, ""mean_superiority_intensity"": 65.67}",mean_fear_intensity;mean_superiority_intensity;mean_delegated_agency;mean_polarization_risk;mean_exploration;mean_expansion;mean_fixation_proxy;mean_preference_pressure_score;mean_shortcut_risk_score;mean_emotional_delegation_score;mean_pressure_gradient_score;mean_pressure_activation;mean_closure_pressure;mean_emotional_offloading;mean_shortcut_normalization,fixation leaning,pressure-driven and closure-leaning
20260425_9e82e8,2026-04-25,72.0,65.33,77.33,51.33,60.0,71.67,66.53,70.33,64.67,71.67,72.0,76.67,68.33,73.33,63.33,"{""mean_closure_pressure"": 68.33, ""mean_delegated_agency"": 77.33, ""mean_emotional_delegation_score"": 71.67, ""mean_emotional_offloading"": 73.33, ""mean_expansion"": 71.67, ""mean_exploration"": 60.0, ""mean_fear_intensity"": 72.0, ""mean_fixation_proxy"": 66.53, ""mean_polarization_risk"": 51.33, ""mean_preference_pressure_score"": 70.33, ""mean_pressure_activation"": 76.67, ""mean_pressure_gradient_score"": 72.0, ""mean_shortcut_normalization"": 63.33, ""mean_shortcut_risk_score"": 64.67, ""mean_superiority_intensity"": 65.33}",mean_fear_intensity;mean_superiority_intensity;mean_delegated_agency;mean_polarization_risk;mean_exploration;mean_expansion;mean_fixation_proxy;mean_preference_pressure_score;mean_shortcut_risk_score;mean_emotional_delegation_score;mean_pressure_gradient_score;mean_pressure_activation;mean_closure_pressure;mean_emotional_offloading;mean_shortcut_normalization,fixation leaning,pressure-driven and closure-leaning
20260502_0fecb9,2026-05-02,73.67,67.0,74.67,53.67,60.0,70.0,66.65,66.33,59.33,69.0,72.0,75.0,65.0,70.0,60.0,"{""mean_closure_pressure"": 65.0, ""mean_delegated_agency"": 74.67, ""mean_emotional_delegation_score"": 69.0, ""mean_emotional_offloading"": 70.0, ""mean_expansion"": 70.0, ""mean_exploration"": 60.0, ""mean_fear_intensity"": 73.67, ""mean_fixation_proxy"": 66.65, ""mean_polarization_risk"": 53.67, ""mean_preference_pressure_score"": 66.33, ""mean_pressure_activation"": 75.0, ""mean_pressure_gradient_score"": 72.0, ""mean_shortcut_normalization"": 60.0, ""mean_shortcut_risk_score"": 59.33, ""mean_superiority_intensity"": 67.0}",mean_fear_intensity;mean_superiority_intensity;mean_delegated_agency;mean_polarization_risk;mean_exploration;mean_expansion;mean_fixation_proxy;mean_preference_pressure_score;mean_shortcut_risk_score;mean_emotional_delegation_score;mean_pressure_gradient_score;mean_pressure_activation;mean_closure_pressure;mean_emotional_offloading;mean_shortcut_normalization,fixation leaning,pressure-driven and closure-leaning
20260509_aa6aaf,2026-05-09,72.67,69.0,76.67,52.33,60.0,75.0,66.73,69.33,63.0,70.33,75.67,80.0,70.0,75.0,65.0,"{""mean_closure_pressure"": 70.0, ""mean_delegated_agency"": 76.67, ""mean_emotional_delegation_score"": 70.33, ""mean_emotional_offloading"": 75.0, ""mean_expansion"": 75.0, ""mean_exploration"": 60.0, ""mean_fear_intensity"": 72.67, ""mean_fixation_proxy"": 66.73, ""mean_polarization_risk"": 52.33, ""mean_preference_pressure_score"": 69.33, ""mean_pressure_activation"": 80.0, ""mean_pressure_gradient_score"": 75.67, ""mean_shortcut_normalization"": 65.0, ""mean_shortcut_risk_score"": 63.0, ""mean_superiority_intensity"": 69.0}",mean_fear_intensity;mean_superiority_intensity;mean_delegated_agency;mean_polarization_risk;mean_exploration;mean_expansion;mean_fixation_proxy;mean_preference_pressure_score;mean_shortcut_risk_score;mean_emotional_delegation_score;mean_pressure_gradient_score;mean_pressure_activation;mean_closure_pressure;mean_emotional_offloading;mean_shortcut_normalization,fixation leaning,pressure-driven and closure-leaning
20260516_9cfbc3,2026-05-16,75.33,69.67,77.0,50.67,60.0,71.67,67.45,73.33,64.0,71.0,74.33,76.67,66.67,71.67,65.0,"{""mean_closure_pressure"": 66.67, ""mean_delegated_agency"": 77.0, ""mean_emotional_delegation_score"": 71.0, ""mean_emotional_offloading"": 71.67, ""mean_expansion"": 71.67, ""mean_exploration"": 60.0, ""mean_fear_intensity"": 75.33, ""mean_fixation_proxy"": 67.45, ""mean_polarization_risk"": 50.67, ""mean_preference_pressure_score"": 73.33, ""mean_pressure_activation"": 76.67, ""mean_pressure_gradient_score"": 74.33, ""mean_shortcut_normalization"": 65.0, ""mean_shortcut_risk_score"": 64.0, ""mean_superiority_intensity"": 69.67}",mean_fear_intensity;mean_superiority_intensity;mean_delegated_agency;mean_polarization_risk;mean_exploration;mean_expansion;mean_fixation_proxy;mean_preference_pressure_score;mean_shortcut_risk_score;mean_emotional_delegation_score;mean_pressure_gradient_score;mean_pressure_activation;mean_closure_pressure;mean_emotional_offloading;mean_shortcut_normalization,fixation leaning,pressure-driven and closure-leaning
20260523_af87e0,2026-05-23,71.67,66.67,75.67,55.33,61.67,73.33,66.47,68.33,63.0,71.0,75.0,78.33,70.0,73.33,65.0,"{""mean_closure_pressure"": 70.0, ""mean_delegated_agency"": 75.67, ""mean_emotional_delegation_score"": 71.0, ""mean_emotional_offloading"": 73.33, ""mean_expansion"": 73.33, ""mean_exploration"": 61.67, ""mean_fear_intensity"": 71.67, ""mean_fixation_proxy"": 66.47, ""mean_polarization_risk"": 55.33, ""mean_preference_pressure_score"": 68.33, ""mean_pressure_activation"": 78.33, ""mean_pressure_gradient_score"": 75.0, ""mean_shortcut_normalization"": 65.0, ""mean_shortcut_risk_score"": 63.0, ""mean_superiority_intensity"": 66.67}",mean_fear_intensity;mean_superiority_intensity;mean_delegated_agency;mean_polarization_risk;mean_exploration;mean_expansion;mean_fixation_proxy;mean_preference_pressure_score;mean_shortcut_risk_score;mean_emotional_delegation_score;mean_pressure_gradient_score;mean_pressure_activation;mean_closure_pressure;mean_emotional_offloading;mean_shortcut_normalization,fixation leaning,pressure-driven and closure-leaning
20260530_564e49,2026-05-30,74.33,66.67,75.0,47.0,60.0,70.0,65.67,66.0,58.0,69.67,72.0,75.0,68.33,68.33,60.0,"{""mean_closure_pressure"": 68.33, ""mean_delegated_agency"": 75.0, ""mean_emotional_delegation_score"": 69.67, ""mean_emotional_offloading"": 68.33, ""mean_expansion"": 70.0, ""mean_exploration"": 60.0, ""mean_fear_intensity"": 74.33, ""mean_fixation_proxy"": 65.67, ""mean_polarization_risk"": 47.0, ""mean_preference_pressure_score"": 66.0, ""mean_pressure_activation"": 75.0, ""mean_pressure_gradient_score"": 72.0, ""mean_shortcut_normalization"": 60.0, ""mean_shortcut_risk_score"": 58.0, ""mean_superiority_intensity"": 66.67}",mean_fear_intensity;mean_superiority_intensity;mean_delegated_agency;mean_polarization_risk;mean_exploration;mean_expansion;mean_fixation_proxy;mean_preference_pressure_score;mean_shortcut_risk_score;mean_emotional_delegation_score;mean_pressure_gradient_score;mean_pressure_activation;mean_closure_pressure;mean_emotional_offloading;mean_shortcut_normalization,fixation leaning,pressure-driven and closure-leaning
